year,burned_area_km2_all_landcover,burned_area_km2_forest_only
2000,436.65915137088115,28.18430282089196
2001,24010.916778759864,12494.034292795493
2002,34487.66049035746,9391.843602761375
2003,63178.870907719924,29484.57200734872
2004,87085.85639071322,42314.68364224594
2005,68232.64584972351,27015.17136837659
2006,59769.15474900628,24053.8131524241
2007,82539.69723571531,39790.0014515528
2008,61455.76519115601,24488.721390059112
2009,102977.9368578737,51454.79819811949
2010,95696.85018373824,45441.73346240961
2011,70295.42788345057,26185.92500928318
2012,97502.89090914784,44429.82568931499
2013,79293.46462507165,30405.972713359126
2014,81602.73234902024,33998.50378630514
2015,74537.00045833804,29486.106169513656
2016,80604.41633390596,28685.425639966365
2017,81632.48093645481,33360.68764598793
2018,82382.69013280742,30149.544592519538
2019,75964.6013636235,26200.506379006114
2020,79533.84563020436,25642.089332104388
2021,105485.66889957293,47873.09093661672
2022,80466.97347836003,25896.235339265473
