year,forest_fire_points,burned_area_km2,n_months_burned_area,partial_year
2000,225,436.6591513708812,2,True
2001,6007,24010.916778759864,12,False
2002,4290,34487.66049035746,12,False
2003,22348,63178.87090771992,12,False
2004,28668,87085.85639071319,12,False
2005,22270,68232.64584972351,12,False
2006,27241,59769.15474900628,12,False
2007,29008,82539.69723571531,12,False
2008,23356,61455.76519115601,12,False
2009,40155,102977.93685787372,12,False
2010,31108,95696.85018373824,12,False
2011,22513,70295.42788345057,12,False
2012,35214,97502.89090914784,12,False
2013,22245,79293.46462507165,12,False
2014,23844,81602.73234902024,12,False
2015,20258,74537.00045833804,12,False
2016,28903,80604.41633390595,12,False
2017,26462,81632.48093645481,12,False
2018,29028,82382.6901328074,12,False
2019,21158,75964.60136362351,12,False
2020,16421,79533.84563020438,12,False
2021,38116,105485.66889957292,12,False
2022,22707,80466.97347836003,12,True
