year,biswas_et_al_pct_of_2001_2020,biswas_et_al_derived_count,this_project_forest_fire_points,diff_pct
2001,1.24,5902,6007,1.78
2002,0.88,4188,4290,2.44
2003,4.66,22179,22348,0.76
2004,5.98,28462,28668,0.72
2005,4.62,21989,22270,1.28
2006,5.67,26986,27241,0.94
2007,6.05,28795,29008,0.74
2008,4.87,23179,23356,0.76
2009,8.36,39789,40155,0.92
2010,6.48,30842,31108,0.86
2011,4.69,22322,22513,0.86
2012,7.3,34744,35214,1.35
2013,4.65,22132,22245,0.51
2014,4.97,23655,23844,0.8
2015,4.23,20133,20258,0.62
2016,5.98,28462,28903,1.55
2017,5.51,26225,26462,0.9
2018,6.02,28652,29028,1.31
2019,4.41,20989,21158,0.81
2020,3.42,16277,16421,0.88
