year,burned_area_km2_all_landcover,burned_area_km2_forest_only,biswas_fig7d_digitized_km2,diff_forest_minus_biswas_km2,ratio_forest_vs_biswas,pct_diff_forest_vs_biswas
2001,24010.9,12494.0,2650,9844.0,4.7,371.5
2002,34487.7,9391.8,2100,7291.8,4.5,347.2
2003,63178.9,29484.6,6450,23034.6,4.6,357.1
2004,87085.9,42314.7,9850,32464.7,4.3,329.6
2005,68232.6,27015.2,5650,21365.2,4.8,378.1
2006,59769.2,24053.8,5700,18353.8,4.2,322.0
2007,82539.7,39790.0,9200,30590.0,4.3,332.5
2008,61455.8,24488.7,6300,18188.7,3.9,288.7
2009,102977.9,51454.8,17200,34254.8,3.0,199.2
2010,95696.9,45441.7,12700,32741.7,3.6,257.8
2011,70295.4,26185.9,7400,18785.9,3.5,253.9
2012,97502.9,44429.8,16400,28029.8,2.7,170.9
2013,79293.5,30406.0,8800,21606.0,3.5,245.5
2014,81602.7,33998.5,7900,26098.5,4.3,330.4
2015,74537.0,29486.1,6100,23386.1,4.8,383.4
2016,80604.4,28685.4,8400,20285.4,3.4,241.5
2017,81632.5,33360.7,11500,21860.7,2.9,190.1
2018,82382.7,30149.5,10400,19749.5,2.9,189.9
2019,75964.6,26200.5,7200,19000.5,3.6,263.9
2020,79533.8,25642.1,4400,21242.1,5.8,482.8
