year,month,n_burned_pixels_all,burned_area_km2_all_landcover,n_burned_pixels_forest,burned_area_km2_forest_only
2000,11,1884,352.3781776130354,6,1.200034153413024
2000,12,438,84.28097375784574,139,26.984268667478936
2001,1,6207,1245.812185797377,3493,705.9282838146369
2001,2,22154,4468.286597495086,15033,3034.4329800117425
2001,3,46057,9188.459167508794,29904,5964.27245482016
2001,4,32471,6316.730695829003,13480,2646.6418724921186
2001,5,3645,688.6219022335266,665,130.41621975019865
2001,6,6,1.1340616986185408,1,0.17543565100983904
2001,7,0,0.0,0,0.0
2001,8,94,20.061911200705392,0,0.0
2001,9,2614,490.2285141020333,5,1.0678753646494832
2001,10,6899,1282.128904889038,0,0.0
2001,11,1297,242.30387150653632,8,1.496277775959006
2001,12,347,67.1489664991433,49,9.602893115017617
2002,1,1602,316.99606512314784,526,103.45717130632099
2002,2,15525,3138.922172422469,9964,2014.2390815677106
2002,3,39883,8002.555589519383,24748,4969.048652945946
2002,4,20512,4063.4970074106413,8744,1742.4048308969477
2002,5,32056,5970.960477934431,2379,448.50244437030597
2002,6,601,119.7724863565713,166,29.82940078068301
2002,7,536,114.36032788272846,1,0.21291157755590331
2002,8,1801,382.969177656777,85,18.116322473934897
2002,9,14563,2698.8311676148996,22,4.700392476661103
2002,10,43002,7975.764398175223,0,0.0
2002,11,8009,1487.9978195428967,107,20.53671840370291
2002,12,1110,215.03380071829469,212,40.79567596160639
2003,1,2544,502.09974006459987,1291,254.5247349938737
2003,2,19867,3991.801462990036,11615,2337.575500931055
2003,3,122849,24661.335830668948,85743,17215.076011786092
2003,4,68446,13422.161347443038,40946,8066.997712627628
2003,5,35498,6652.775916549136,5033,966.9248945673224
2003,6,3998,749.9683468356554,3115,579.6608234699978
2003,7,650,116.90693042123786,3,0.6396869316501888
2003,8,1016,215.4691877003138,45,9.599057098410041
2003,9,12524,2344.342511299147,76,16.18599579617889
2003,10,46218,8581.0073177461,14,2.7935850590220723
2003,11,8742,1638.5984859402397,2,0.4124582550065272
2003,12,1558,302.4038300614689,175,34.18154583248315
2004,1,7495,1509.840033937234,4051,815.2720538519889
2004,2,43884,8842.547237981411,27681,5575.233489351619
2004,3,229518,45900.595206741156,161400,32275.21331817737
2004,4,31737,6227.344804677343,15560,3085.0377986030153
2004,5,54082,10078.97048309428,2270,435.6279657347611
2004,6,1937,397.9407895440859,227,44.616197475055856
2004,7,396,76.95183538429352,22,4.699023406774577
2004,8,1553,327.2458317799924,48,10.246285375375907
2004,9,6675,1236.2765173158614,28,5.896980509251576
2004,10,55363,10276.179419114887,1,0.17819825638721407
2004,11,10478,1958.9434622723466,30,5.7833902786242435
2004,12,1269,253.02076887031248,277,56.87894122571409
2005,1,6254,1271.4693451845058,3118,635.4565586418505
2005,2,84969,17115.250567330513,60138,12114.891000521877
2005,3,62770,12609.116659130003,39904,8026.840473488649
2005,4,46055,9038.854583324593,24015,4743.0334503043505
2005,5,59133,11034.37728135362,3870,735.4523126783554
2005,6,6601,1260.646144462325,3661,680.9240180823658
2005,7,389,81.37058692394717,35,7.277366109810958
2005,8,1508,306.5927510286402,29,6.191085694475113
2005,9,12380,2316.398129801395,32,6.4434458675602775
2005,10,32005,5937.704122289191,16,2.860412781332868
2005,11,37486,6978.4923231697485,75,14.313229384644192
2005,12,1508,282.37335572504037,218,41.48801482131492
2006,1,5195,1009.7159890442246,2536,488.5551487646934
2006,2,30637,6154.19695851972,19113,3837.5159127717307
2006,3,117860,23550.964634594107,75954,15173.656083220723
2006,4,41830,8249.233873713732,20508,4069.040448330595
2006,5,20812,3870.5355127911953,1653,324.5588713024762
2006,6,1277,244.63364885735214,424,75.8740547606704
2006,7,1075,223.31703883346586,81,17.2857041682478
2006,8,503,105.0212982250969,39,8.332543419435272
2006,9,28118,5196.7976046432905,2,0.34811310975476784
2006,10,45278,8410.249882502992,35,6.64357068800441
2006,11,12954,2423.349822566809,127,24.46203091738513
2006,12,1706,331.1384847142924,141,27.540670970385666
2007,1,5077,1022.1452703067146,1851,374.72083797115846
2007,2,36326,7376.01470062637,20234,4113.6534048022595
2007,3,193192,38768.04095153228,136725,27454.90246971994
2007,4,63723,12678.906309924425,33977,6789.541685460113
2007,5,14797,2770.0190020200566,2077,399.371235970181
2007,6,4015,745.1845150999192,2867,525.1404995792559
2007,7,766,157.96412688603274,11,2.3442137550350086
2007,8,537,114.08676535684579,5,1.0659244454920296
2007,9,30023,5547.890879711332,1,0.19353550179938908
2007,10,44728,8307.2661994929,162,31.086805008513
2007,11,25613,4764.758908295387,250,47.86393781685779
2007,12,1491,287.41960646304415,262,50.11690152219856
2008,1,4792,947.4097938263486,1483,296.3243956576698
2008,2,17464,3520.09721650321,7127,1436.7364937724305
2008,3,101111,20318.819980827146,70248,14116.643534560924
2008,4,77408,15194.176722969085,34098,6703.421476827973
2008,5,29797,5719.716710556422,9434,1881.8963142671694
2008,6,706,148.72306772221862,32,6.696912520823474
2008,7,564,120.35583880087276,30,6.40506572944074
2008,8,699,149.10674977994356,1,0.21374152467176996
2008,9,6154,1143.056039581873,0,0.0
2008,10,34031,6323.327858753084,23,4.456285813658162
2008,11,41750,7745.328790774983,74,13.469810747018037
2008,12,653,125.64642106082665,116,22.457358637334476
2009,1,6334,1274.664061613176,2830,569.1508375611761
2009,2,130452,26235.763652967944,89696,18039.93506428032
2009,3,162383,32524.060991201564,112601,22581.345025405062
2009,4,92628,18222.34958915947,45580,9004.549032971845
2009,5,23946,4483.084218335949,4394,828.2831761006669
2009,6,4951,956.4442643510738,1914,354.2722146990443
2009,7,1144,237.42959532540505,54,10.46446456007689
2009,8,185,39.375802820099594,2,0.42725960539587354
2009,9,2790,517.0504383102826,0,0.0
2009,10,33850,6280.719433930568,8,1.434907600826664
2009,11,64647,12039.550322423314,183,35.58206128243937
2009,12,861,167.44448743486453,149,29.354154052635288
2010,1,9070,1815.7978994678133,4756,953.6304705580025
2010,2,56497,11386.799146850757,35634,7171.9328966703515
2010,3,229345,45635.623114010225,158840,31589.452592001977
2010,4,62160,12153.48867687744,26859,5252.329681475579
2010,5,35062,6563.585431113537,2277,441.03568050544726
2010,6,137,26.728860395664242,45,8.77150629599734
2010,7,233,44.29432690652871,3,0.6397450649136964
2010,8,978,201.7349607966597,7,1.4602320880065522
2010,9,4187,787.7503502812651,0,0.0
2010,10,46498,8639.898478745115,4,0.7747103237402166
2010,11,42752,7968.866178917884,45,8.661242128011796
2010,12,2370,472.2827593753508,69,13.044705297585443
2011,1,1947,391.3346992297711,585,117.827671083875
2011,2,23797,4803.43567061325,12150,2455.515094307044
2011,3,141034,28225.118414611738,100003,20002.637728687492
2011,4,61647,12111.394704617778,16267,3217.126979961548
2011,5,14338,2722.0527567182025,1388,272.6979851468151
2011,6,1967,389.3532704980206,207,38.10980916114471
2011,7,98,19.202546417701143,8,1.7083212622264963
2011,8,395,83.83259708441165,24,5.126288375653412
2011,9,2937,559.1800239596992,8,1.5520816458614102
2011,10,50231,9318.69006781393,8,1.527202416049243
2011,11,60755,11309.233397220914,114,21.72054444266121
2011,12,1864,362.5997346651591,259,50.375302792812036
2012,1,3342,671.1035776766597,743,148.4432890072714
2012,2,97341,19723.03173868898,69567,14117.564620032526
2012,3,174857,35095.80601335155,120569,24211.95185075337
2012,4,58862,11457.118603917304,16870,3283.4241869915586
2012,5,42238,8000.099672364915,11541,2168.112999269558
2012,6,4222,798.542356972011,2326,432.5010903976738
2012,7,590,118.41626742059842,22,4.273749630658645
2012,8,1415,299.82658920434915,88,18.71295437833593
2012,9,3090,578.8605712512198,3,0.6390301090533893
2012,10,44646,8291.461064556726,0,0.0
2012,11,62591,11650.86908290072,10,1.889892140868617
2012,12,4219,817.755370842813,218,42.3120266041163
2013,1,3848,772.6780013789415,1564,313.41885678783456
2013,2,45766,9181.149347833107,30220,6063.890233700503
2013,3,96843,19368.37406737294,61251,12246.127641615014
2013,4,94088,18588.23522330846,54446,10828.651017212718
2013,5,58757,11018.747903137659,4700,912.6224450985198
2013,6,170,31.655041444738888,9,1.6752853516990274
2013,7,373,75.29425202522253,9,1.9210045633610133
2013,8,526,110.10352411500207,2,0.3409276354369353
2013,9,2161,401.4496774355082,9,1.8371568855177653
2013,10,46305,8612.647361058334,2,0.39082268945620446
2013,11,58160,10831.623945928724,2,0.35542937083672277
2013,12,1537,301.50628003301057,182,34.74189244822967
2014,1,2252,447.59228920681863,394,77.71052600511109
2014,2,23609,4748.018629126922,12678,2550.275574029317
2014,3,148438,29857.48456426368,103268,20784.323992712474
2014,4,86992,17175.597947008693,41965,8326.177587489547
2014,5,17484,3348.8885689203266,6152,1169.4788246180408
2014,6,7928,1473.67414452062,5528,1025.3192892714947
2014,7,268,56.5405393253879,59,12.602067209641552
2014,8,724,148.00149420782702,22,4.659603553514973
2014,9,2402,443.6323787815524,1,0.18807198274838643
2014,10,37505,6974.5137976431315,53,10.101257853127793
2014,11,89557,16677.427014747005,19,3.6170435197074218
2014,12,1285,251.36098126827974,174,34.04994806040955
2015,1,5558,1113.608547200793,2400,479.99304457155347
2015,2,33011,6683.8795186986,21742,4403.101222924988
2015,3,161915,32380.599290754955,106676,21354.47181858209
2015,4,29569,5869.531088820013,12585,2534.5571348529866
2015,5,13942,2631.7345579608245,2320,442.24732397594073
2015,6,1104,207.58918821485162,841,157.70240293852316
2015,7,774,165.14266102527262,4,0.8535480270919453
2015,8,594,126.08053634158685,5,1.0681203306626934
2015,9,2072,383.27206666581117,6,1.1699850759598647
2015,10,21873,4075.05411716463,3,0.5878933650539675
2015,11,110391,20558.573114230254,12,2.284436267897709
2015,12,1723,341.93577126045284,536,108.0692386009089
2016,1,4796,961.9382575787697,1701,343.885568127987
2016,2,37716,7591.774856479321,26115,5262.460647242807
2016,3,89061,17843.943696058162,57671,11580.920042417372
2016,4,99924,19296.863465047743,55929,10791.537933296033
2016,5,38809,7259.976485814686,2089,394.6508744090301
2016,6,1296,234.4058369021492,835,149.96395555602078
