year,month,date,n_tiles,n_burned_pixels,burned_area_km2
2000,11,20001101,1,1884,352.3781776130354
2000,12,20001201,1,438,84.28097375784574
2001,1,20010101,1,6207,1245.812185797377
2001,2,20010201,1,22154,4468.286597495087
2001,3,20010301,1,46057,9188.459167508792
2001,4,20010401,1,32471,6316.730695829004
2001,5,20010501,1,3645,688.6219022335266
2001,6,20010601,1,6,1.1340616986185408
2001,7,20010701,1,0,0.0
2001,8,20010801,1,94,20.0619112007054
2001,9,20010901,1,2614,490.2285141020333
2001,10,20011001,1,6899,1282.1289048890385
2001,11,20011101,1,1297,242.3038715065363
2001,12,20011201,1,347,67.1489664991433
2002,1,20020101,1,1602,316.99606512314784
2002,2,20020201,1,15525,3138.922172422469
2002,3,20020301,1,39883,8002.555589519384
2002,4,20020401,1,20512,4063.497007410641
2002,5,20020501,1,32056,5970.96047793443
2002,6,20020601,1,601,119.7724863565713
2002,7,20020701,1,536,114.36032788272846
2002,8,20020801,1,1801,382.969177656777
2002,9,20020901,1,14563,2698.831167614901
2002,10,20021001,1,43002,7975.764398175223
2002,11,20021101,1,8009,1487.9978195428969
2002,12,20021201,1,1110,215.0338007182947
2003,1,20030101,1,2544,502.0997400645998
2003,2,20030201,1,19867,3991.801462990036
2003,3,20030301,1,122849,24661.335830668948
2003,4,20030401,1,68446,13422.161347443036
2003,5,20030501,1,35498,6652.775916549136
2003,6,20030601,1,3998,749.9683468356553
2003,7,20030701,1,650,116.90693042123786
2003,8,20030801,1,1016,215.4691877003138
2003,9,20030901,1,12524,2344.342511299147
2003,10,20031001,1,46218,8581.0073177461
2003,11,20031101,1,8742,1638.5984859402397
2003,12,20031201,1,1558,302.40383006146897
2004,1,20040101,1,7495,1509.840033937234
2004,2,20040201,1,43884,8842.54723798141
2004,3,20040301,1,229518,45900.59520674114
2004,4,20040401,1,31737,6227.344804677343
2004,5,20040501,1,54082,10078.97048309428
2004,6,20040601,1,1937,397.940789544086
2004,7,20040701,1,396,76.95183538429352
2004,8,20040801,1,1553,327.2458317799924
2004,9,20040901,1,6675,1236.276517315861
2004,10,20041001,1,55363,10276.179419114887
2004,11,20041101,1,10478,1958.9434622723463
2004,12,20041201,1,1269,253.02076887031248
2005,1,20050101,1,6254,1271.469345184506
2005,2,20050201,1,84969,17115.250567330513
2005,3,20050301,1,62770,12609.116659130004
2005,4,20050401,1,46055,9038.854583324592
2005,5,20050501,1,59133,11034.377281353618
2005,6,20050601,1,6601,1260.646144462325
2005,7,20050701,1,389,81.37058692394717
2005,8,20050801,1,1508,306.5927510286402
2005,9,20050901,1,12380,2316.398129801395
2005,10,20051001,1,32005,5937.70412228919
2005,11,20051101,1,37486,6978.492323169747
2005,12,20051201,1,1508,282.3733557250403
2006,1,20060101,1,5195,1009.7159890442244
2006,2,20060201,1,30637,6154.19695851972
2006,3,20060301,1,117860,23550.964634594107
2006,4,20060401,1,41830,8249.233873713732
2006,5,20060501,1,20812,3870.5355127911953
2006,6,20060601,1,1277,244.6336488573521
2006,7,20060701,1,1075,223.31703883346583
2006,8,20060801,1,503,105.0212982250969
2006,9,20060901,1,28118,5196.7976046432905
2006,10,20061001,1,45278,8410.249882502992
2006,11,20061101,1,12954,2423.3498225668086
2006,12,20061201,1,1706,331.13848471429253
2007,1,20070101,1,5077,1022.1452703067145
2007,2,20070201,1,36326,7376.01470062637
2007,3,20070301,1,193192,38768.04095153228
2007,4,20070401,1,63723,12678.906309924429
2007,5,20070501,1,14797,2770.019002020057
2007,6,20070601,1,4015,745.1845150999192
2007,7,20070701,1,766,157.96412688603277
2007,8,20070801,1,537,114.0867653568458
2007,9,20070901,1,30023,5547.890879711334
2007,10,20071001,1,44728,8307.2661994929
2007,11,20071101,1,25613,4764.758908295387
2007,12,20071201,1,1491,287.41960646304415
2008,1,20080101,1,4792,947.4097938263484
2008,2,20080201,1,17464,3520.09721650321
2008,3,20080301,1,101111,20318.819980827146
2008,4,20080401,1,77408,15194.176722969083
2008,5,20080501,1,29797,5719.716710556422
2008,6,20080601,1,706,148.72306772221864
2008,7,20080701,1,564,120.35583880087276
2008,8,20080801,1,699,149.10674977994358
2008,9,20080901,1,6154,1143.0560395818732
2008,10,20081001,1,34031,6323.327858753083
2008,11,20081101,1,41750,7745.328790774982
2008,12,20081201,1,653,125.64642106082664
2009,1,20090101,1,6334,1274.6640616131765
2009,2,20090201,1,130452,26235.763652967944
2009,3,20090301,1,162383,32524.06099120157
2009,4,20090401,1,92628,18222.349589159472
2009,5,20090501,1,23946,4483.084218335949
2009,6,20090601,1,4951,956.4442643510738
2009,7,20090701,1,1144,237.4295953254051
2009,8,20090801,1,185,39.3758028200996
2009,9,20090901,1,2790,517.0504383102825
2009,10,20091001,1,33850,6280.719433930569
2009,11,20091101,1,64647,12039.550322423314
2009,12,20091201,1,861,167.44448743486453
2010,1,20100101,1,9070,1815.7978994678133
2010,2,20100201,1,56497,11386.799146850755
2010,3,20100301,1,229345,45635.62311401023
2010,4,20100401,1,62160,12153.488676877438
2010,5,20100501,1,35062,6563.585431113537
2010,6,20100601,1,137,26.72886039566424
2010,7,20100701,1,233,44.29432690652872
2010,8,20100801,1,978,201.7349607966597
2010,9,20100901,1,4187,787.7503502812649
2010,10,20101001,1,46498,8639.898478745114
2010,11,20101101,1,42752,7968.866178917884
2010,12,20101201,1,2370,472.28275937535074
2011,1,20110101,1,1947,391.3346992297711
2011,2,20110201,1,23797,4803.435670613251
2011,3,20110301,1,141034,28225.11841461173
2011,4,20110401,1,61647,12111.394704617778
2011,5,20110501,1,14338,2722.0527567182025
2011,6,20110601,1,1967,389.3532704980206
2011,7,20110701,1,98,19.202546417701143
2011,8,20110801,1,395,83.83259708441162
2011,9,20110901,1,2937,559.1800239596992
2011,10,20111001,1,50231,9318.69006781393
2011,11,20111101,1,60755,11309.233397220914
2011,12,20111201,1,1864,362.5997346651591
2012,1,20120101,1,3342,671.1035776766598
2012,2,20120201,1,97341,19723.031738688976
2012,3,20120301,1,174857,35095.80601335154
2012,4,20120401,1,58862,11457.118603917304
2012,5,20120501,1,42238,8000.099672364915
2012,6,20120601,1,4222,798.542356972011
2012,7,20120701,1,590,118.41626742059842
2012,8,20120801,1,1415,299.82658920434915
2012,9,20120901,1,3090,578.8605712512199
2012,10,20121001,1,44646,8291.461064556726
2012,11,20121101,1,62591,11650.86908290072
2012,12,20121201,1,4219,817.7553708428129
2013,1,20130101,1,3848,772.6780013789416
2013,2,20130201,1,45766,9181.149347833109
2013,3,20130301,1,96843,19368.37406737294
2013,4,20130401,1,94088,18588.235223308457
2013,5,20130501,1,58757,11018.74790313766
2013,6,20130601,1,170,31.65504144473889
2013,7,20130701,1,373,75.29425202522253
2013,8,20130801,1,526,110.10352411500207
2013,9,20130901,1,2161,401.4496774355082
2013,10,20131001,1,46305,8612.647361058336
2013,11,20131101,1,58160,10831.623945928724
2013,12,20131201,1,1537,301.50628003301057
2014,1,20140101,1,2252,447.5922892068186
2014,2,20140201,1,23609,4748.018629126922
2014,3,20140301,1,148438,29857.48456426368
2014,4,20140401,1,86992,17175.597947008693
2014,5,20140501,1,17484,3348.888568920326
2014,6,20140601,1,7928,1473.6741445206198
2014,7,20140701,1,268,56.5405393253879
2014,8,20140801,1,724,148.00149420782702
2014,9,20140901,1,2402,443.6323787815524
2014,10,20141001,1,37505,6974.51379764313
2014,11,20141101,1,89557,16677.427014747005
2014,12,20141201,1,1285,251.3609812682797
2015,1,20150101,1,5558,1113.6085472007928
2015,2,20150201,1,33011,6683.8795186986
2015,3,20150301,1,161915,32380.599290754955
2015,4,20150401,1,29569,5869.531088820013
2015,5,20150501,1,13942,2631.7345579608245
2015,6,20150601,1,1104,207.5891882148516
2015,7,20150701,1,774,165.14266102527262
2015,8,20150801,1,594,126.08053634158684
2015,9,20150901,1,2072,383.2720666658112
2015,10,20151001,1,21873,4075.05411716463
2015,11,20151101,1,110391,20558.57311423025
2015,12,20151201,1,1723,341.93577126045284
2016,1,20160101,1,4796,961.9382575787696
2016,2,20160201,1,37716,7591.774856479322
2016,3,20160301,1,89061,17843.943696058162
2016,4,20160401,1,99924,19296.86346504774
2016,5,20160501,1,38809,7259.976485814685
2016,6,20160601,1,1296,234.40583690214916
2016,7,20160701,1,339,71.6080052630603
2016,8,20160801,1,571,121.74220937782135
2016,9,20160901,1,5968,1121.7162172497726
2016,10,20161001,1,39849,7420.736071614042
2016,11,20161101,1,97906,18250.77345176617
2016,12,20161201,1,2248,428.93778075425257
2017,1,20170101,1,3216,639.245671562044
2017,2,20170201,1,56854,11474.98326056182
2017,3,20170301,1,110396,22105.115791844488
2017,4,20170401,1,105005,20808.637199402317
2017,5,20170501,1,41201,7760.475268584687
2017,6,20170601,1,1039,199.08924871303697
2017,7,20170701,1,110,23.418643830201823
2017,8,20170801,1,22,4.626080323735442
2017,9,20170901,1,2272,420.6023042789846
2017,10,20171001,1,50185,9356.313316966429
2017,11,20171101,1,45150,8501.847327006404
2017,12,20171201,1,1699,338.1268233806628
2018,1,20180101,1,4920,975.6749299186577
2018,2,20180201,1,41872,8498.334937501868
2018,3,20180301,1,143645,28851.025836971152
2018,4,20180401,1,63156,12325.880077861128
2018,5,20180501,1,33464,6260.1213564844
2018,6,20180601,1,572,107.67220767832666
2018,7,20180701,1,1,0.2122511998445422
2018,8,20180801,1,453,96.66043343543214
2018,9,20180901,1,1487,284.7837150640533
2018,10,20181001,1,35884,6676.283740007621
2018,11,20181101,1,93706,17509.976507290667
2018,12,20181201,1,4044,796.0641393942518
2019,1,20190101,1,2570,516.1845015479829
2019,2,20190201,1,30064,6078.798758353061
2019,3,20190301,1,92357,18530.578867584147
2019,4,20190401,1,93855,18399.98341227524
2019,5,20190501,1,36055,6877.761203906807
2019,6,20190601,1,4016,771.3328921724269
2019,7,20190701,1,36,6.671409301961599
2019,8,20190801,1,128,26.257322152307477
2019,9,20190901,1,2067,385.0375619201735
2019,10,20191001,1,52706,9809.460239449014
2019,11,20191101,1,73448,13754.56169238929
2019,12,20191201,1,4118,807.9735025710963
2020,1,20200101,1,10675,2155.3008270909586
2020,2,20200201,1,34173,6881.583577507792
2020,3,20200301,1,120842,24137.56496606524
2020,4,20200401,1,59099,11729.394384978732
2020,5,20200501,1,47515,9141.713748199574
2020,6,20200601,1,903,169.19046002797606
2020,7,20200701,1,292,53.97530617842823
2020,8,20200801,1,0,0.0
2020,9,20200901,1,5664,1041.1608835871696
2020,10,20201001,1,53729,9997.32767400042
2020,11,20201101,1,72433,13552.694398884036
2020,12,20201201,1,3384,673.9394036840431
2021,1,20210101,1,11058,2203.695999426981
2021,2,20210201,1,55436,11154.799097161847
2021,3,20210301,1,220807,44228.58131899498
2021,4,20210401,1,92129,17983.64426329353
2021,5,20210501,1,15579,2994.2057094463444
2021,6,20210601,1,783,140.1900762550809
2021,7,20210701,1,178,32.90919185067298
2021,8,20210801,1,297,61.372873425193134
2021,9,20210901,1,1414,264.3815753718415
2021,10,20211001,1,36273,6736.614870195828
2021,11,20211101,1,101592,18938.99738122345
2021,12,20211201,1,3663,746.2765429271961
2022,1,20220101,1,4355,861.636399745331
2022,2,20220201,1,20239,4078.6078554200208
2022,3,20220301,1,136215,27302.55888645517
2022,4,20220401,1,89610,17346.459516684772
2022,5,20220501,1,29242,5488.603494399116
2022,6,20220601,1,4356,799.2018981579275
2022,7,20220701,1,46,9.819183446621114
2022,8,20220801,1,81,16.234735439666785
2022,9,20220901,1,2408,466.7493000547784
2022,10,20221001,1,30599,5705.406246391781
2022,11,20221101,1,95144,17818.650856771197
2022,12,20221201,1,2868,573.045105393649
