year,file,forest_pct_download_rectangle,forest_pct_india_only,total_points,forest_points
2000,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2000-v2.0.7cds.area-subset.37.5.97.5.6.68.nc,9.85969868173258,18.291556599324853,1419,225
2001,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2001-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,9.948015150200943,18.27311881495177,18844,6007
2002,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2002-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,9.951949672805775,18.277197218868395,26939,4290
2003,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2003-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,9.966988238997953,18.307657798120704,56119,22348
2004,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2004-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.00641779345483,18.369726007726875,64757,28668
2005,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2005-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.000278685312079,18.345425517723637,63737,22270
2006,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2006-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.00129142934243,18.34878170428003,66195,27241
2007,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2007-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.01244366059181,18.369173723863167,75413,29008
2008,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2008-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.013306219742164,18.372827294038476,71025,23356
2009,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2009-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.011056659053017,18.37533381311224,90500,40155
2010,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2010-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.014889184439884,18.38060175150455,76894,31108
2011,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2011-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.022235393516512,18.384170354931598,72441,22513
2012,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2012-v2.0.7cds.area-subset.37.5.97.5.6.68.nc,9.912911813257073,18.37813771580492,93536,35214
2013,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2013-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.021840254687858,18.375291329738108,71219,22245
2014,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2014-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.023320419039909,18.369768491101006,76638,23844
2015,ESACCI-LC-L4-LCCS-Map-300m-P1Y-2015-v2.0.7cds.area-subset.37.5.98.6.67.5.nc,10.023044143110932,18.36904627374077,68553,20258
2016,C3S-LC-L4-LCCS-Map-300m-P1Y-2016-v2.1.1.area-subset.37.5.98.6.67.5.nc,10.128308484562279,18.586646116042488,89354,28903
2017,C3S-LC-L4-LCCS-Map-300m-P1Y-2017-v2.1.1.area-subset.37.5.98.6.67.5.nc,10.172440351705683,18.69395911909874,82729,26462
2018,C3S-LC-L4-LCCS-Map-300m-P1Y-2018-v2.1.1.area-subset.37.5.98.6.67.5.nc,10.191319474561734,18.741667948248452,91342,29028
2019,C3S-LC-L4-LCCS-Map-300m-P1Y-2019-v2.1.1.area-subset.37.5.98.6.67.5.nc,10.270842770083814,18.927575193448043,75693,21158
2020,C3S-LC-L4-LCCS-Map-300m-P1Y-2020-v2.1.1.area-subset.37.5.98.6.67.5.nc,10.303045781491441,19.00918575515472,76149,16421
2021,C3S-LC-L4-LCCS-Map-300m-P1Y-2021-v2.1.1.area-subset.37.5.98.6.67.5.nc,10.334423177622936,19.088757114903082,111467,38116
2022,C3S-LC-L4-LCCS-Map-300m-P1Y-2022-v2.1.1.area-subset.37.5.98.6.67.5.nc,10.427465521727816,19.320036603675153,78503,22707
