year,biswas_pct,biswas_count_derived,biswas_count_rounding_lo,biswas_count_rounding_hi,this_study,diff_pct
2001,1.24,5902,5878,5926,6007,1.7828519531395657
2002,0.88,4188,4165,4212,4290,2.4267254963756555
2003,4.66,22179,22155,22203,22348,0.7607554261253845
2004,5.98,28462,28438,28486,28668,0.7244444397597998
2005,4.62,21989,21965,22013,22270,1.278418328528637
2006,5.67,26986,26963,27010,27241,0.9435690949855543
2007,6.05,28795,28771,28819,29008,0.739799218440028
2008,4.87,23179,23155,23203,23356,0.7646438453472417
2009,8.36,39789,39766,39813,40155,0.9187869539189105
2010,6.48,30842,30818,30865,31108,0.8638992320751447
2011,4.69,22322,22298,22346,22513,0.8554095937851587
2012,7.3,34744,34721,34768,35214,1.351730569142901
2013,4.65,22132,22108,22155,22245,0.5120489072788077
2014,4.97,23655,23631,23679,23844,0.8001998755850727
2015,4.23,20133,20109,20156,20258,0.6224455406717916
2016,5.98,28462,28438,28486,28903,1.5501122381183723
2017,5.51,26225,26201,26249,26462,0.9043142104367157
2018,6.02,28652,28628,28676,29028,1.3116274881605956
2019,4.41,20989,20966,21013,21158,0.8032866121200709
2020,3.42,16277,16254,16301,16421,0.8816469861139538
